City,Month,Hour,GHI,Temperature,Humidity
Karachi,6,12,865.3047222222223,34.78666666666667,57.211388888888884
Karachi,6,13,865.2844444444445,35.05083333333333,56.33833333333333
Karachi,6,14,777.8852777777778,34.939166666666665,56.406388888888884
Karachi,6,15,639.7069444444444,34.49861111111111,58.048611111111114
Karachi,6,16,474.8572222222222,33.92638888888889,60.38638888888889
Karachi,6,17,274.15722222222223,33.10472222222222,63.64666666666666
Karachi,6,18,101.72527777777778,32.2125,67.15527777777778
Karachi,6,19,8.16,31.3275,70.90916666666666
Karachi,6,20,0.0019444444444444444,30.747500000000002,73.81666666666666
Karachi,6,21,0.011944444444444443,30.533888888888892,74.63083333333333
Karachi,6,22,0.0038888888888888888,30.368055555555557,75.75222222222222
Karachi,6,23,0.0,30.14777777777778,77.15055555555556
Karachi,7,0,0.00913978494623656,29.078225806451613,82.13897849462366
Karachi,7,1,0.00026881720430107527,28.994086021505375,82.33198924731182
Karachi,7,2,0.0,28.860483870967744,83.06908602150538
Karachi,7,3,0.001075268817204301,28.790591397849465,83.13602150537633
Karachi,7,4,0.0005376344086021505,28.761559139784943,83.41774193548387
Karachi,7,5,0.06532258064516129,28.695698924731182,83.54381720430108
Karachi,7,6,22.666666666666668,28.74005376344086,83.31021505376344
Karachi,7,7,102.51908602150537,29.104301075268815,81.73870967741935
Karachi,7,8,221.68736559139785,29.748924731182797,78.6997311827957
Karachi,7,9,328.0854838709678,30.42043010752688,75.83010752688172
Karachi,7,10,422.76075268817203,31.063172043010752,73.31612903225806
Karachi,7,11,491.51720430107525,31.51505376344086,71.65322580645162
Karachi,7,12,520.4833333333333,31.741935483870968,71.06693548387098
Karachi,7,13,557.5591397849462,31.904301075268815,70.46666666666667
Karachi,7,14,515.8852150537634,31.84354838709677,70.50940860215054
Karachi,7,15,424.1177419354838,31.61209677419355,71.21102150537635
Karachi,7,16,318.9564516129032,31.19327956989247,72.677688172043
Karachi,7,17,185.9182795698925,30.695967741935483,74.7494623655914
Karachi,7,18,66.06505376344086,30.126075268817203,77.1752688172043
Karachi,7,19,6.24516129032258,29.677150537634407,79.26935483870967
Karachi,7,20,0.0,29.49220430107527,80.32204301075268
Karachi,7,21,0.0,29.379301075268817,80.77177419354838
